nir,NDMI,blue,red,swir22,swir16,green,MNDWI,qa_pixel,qa_aerosol
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,1.0
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,1.0
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,1.0
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
,,,,,,,,1.0,
